design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
440_flex,flex,4,4,perfect_shuffle,0.675,671706,0.523995,1017.999369,13.564159,1031.563529,3.489227,0,0.0715075,0.0716133,0.998522
440_flex,flex,4,4,perfect_shuffle,0.700,671400,0.523734,1168.877475,13.699464,1182.576939,3.494789,0,0.0725812,0.0726917,0.998479
440_flex,flex,4,4,perfect_shuffle,0.725,672509,0.524614,1298.654134,13.567682,1312.221816,3.489241,0,0.0723574,0.0724655,0.998509
440_flex,flex,4,4,perfect_shuffle,0.750,672623,0.5247,1416.240279,13.613870,1429.854149,3.489314,0,0.0718099,0.0719176,0.998503
440_flex,flex,4,4,perfect_shuffle,0.775,672696,0.524763,1522.457522,13.511169,1535.968691,3.485549,0,0.0730033,0.0731119,0.998513
440_flex,flex,4,4,perfect_shuffle,0.800,671350,0.523713,1650.280317,13.687191,1663.967508,3.485933,0,0.0709779,0.0710836,0.998513
440_flex,flex,4,4,perfect_shuffle,0.825,670656,0.523161,1742.421729,13.751003,1756.172732,3.493525,0,0.0717253,0.0718335,0.998494
440_flex,flex,4,4,perfect_shuffle,0.850,671049,0.52349,1842.087797,13.633007,1855.720804,3.481692,0,0.0725133,0.0726196,0.998537
440_flex,flex,4,4,perfect_shuffle,0.875,673657,0.525503,1928.906627,13.594078,1942.500705,3.491484,0,0.0708283,0.070935,0.998496
440_flex,flex,4,4,perfect_shuffle,0.900,671217,0.523603,2013.589396,13.602072,2027.191468,3.487180,0,0.0717071,0.0718146,0.998503
440_flex,flex,4,4,perfect_shuffle,0.925,671222,0.523598,2097.347268,13.659655,2111.006923,3.489039,0,0.0700841,0.0701904,0.998486
440_flex,flex,4,4,perfect_shuffle,0.950,671523,0.523854,2181.981149,13.609253,2195.590402,3.485969,0,0.0701152,0.0702188,0.998526
440_flex,flex,4,4,perfect_shuffle,0.975,671328,0.523698,2245.301812,13.562499,2258.864311,3.488116,0,0.0716088,0.071715,0.998519
440_flex,flex,4,4,perfect_shuffle,1.000,675352,0.526821,2303.488376,13.583776,2317.072152,3.489991,0,0.0725681,0.072678,0.998488
