policy,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
adaptive,uniform_random,0.525,670604,0.523125,16.868027,13.557168,30.425196,3.417074,0,0.163063,0.163308,0.998503
adaptive,uniform_random,0.550,696137,0.543037,62.676881,13.825878,76.502759,3.416024,0,0.171754,0.172013,0.998493
adaptive,uniform_random,0.575,704111,0.549257,221.481170,13.919981,235.401151,3.413812,0,0.175048,0.175312,0.998492
adaptive,uniform_random,0.600,705441,0.550288,411.919944,13.884348,425.804292,3.414364,0,0.17509,0.175357,0.99848
adaptive,uniform_random,0.625,704811,0.549844,585.162606,13.889366,599.051972,3.414069,0,0.174225,0.174476,0.998566
adaptive,uniform_random,0.650,704461,0.549538,759.263487,13.941641,773.205128,3.415282,0,0.174959,0.175221,0.998507
adaptive,uniform_random,0.675,705767,0.550557,916.652131,13.884624,930.536755,3.414237,0,0.174908,0.175169,0.998507
adaptive,uniform_random,0.700,705562,0.550372,1060.183329,13.956457,1074.139786,3.416617,0,0.174766,0.175035,0.998461
adaptive,uniform_random,0.725,704228,0.54937,1194.305900,13.918045,1208.223946,3.413566,0,0.173924,0.17418,0.99853
adaptive,uniform_random,0.750,704527,0.549594,1323.884272,13.967055,1337.851328,3.414300,0,0.174628,0.174888,0.998514
adaptive,uniform_random,0.775,706625,0.551216,1433.030668,13.935126,1446.965794,3.412144,0,0.17526,0.175525,0.998489
adaptive,uniform_random,0.800,704221,0.549339,1550.264776,13.935063,1564.199838,3.412415,0,0.173789,0.174053,0.998485
adaptive,uniform_random,0.825,706089,0.550785,1650.292496,13.900033,1664.192529,3.414762,0,0.174664,0.174932,0.998465
adaptive,uniform_random,0.850,705782,0.550575,1753.056150,13.866970,1766.923120,3.410342,0,0.175288,0.175548,0.998518
adaptive,uniform_random,0.875,705397,0.550263,1846.540825,13.877192,1860.418017,3.413728,0,0.174631,0.174894,0.998497
adaptive,uniform_random,0.900,705173,0.550097,1931.632193,13.882631,1945.514824,3.412163,0,0.174688,0.174948,0.998512
adaptive,uniform_random,0.925,705627,0.550443,2015.228814,13.941864,2029.170678,3.415969,0,0.175132,0.175396,0.998498
adaptive,uniform_random,0.950,705471,0.550315,2097.021577,13.921041,2110.942618,3.411959,0,0.174839,0.175104,0.998486
adaptive,uniform_random,0.975,706173,0.550899,2163.600042,13.981062,2177.581104,3.413263,0,0.175427,0.175682,0.998553
adaptive,uniform_random,1.000,707231,0.551675,2234.686462,13.933209,2248.619671,3.413920,0,0.175254,0.175524,0.998463
deterministic,uniform_random,0.025,31838,0.0248469,2,9.772324,11.772324,3.374355,0,0.000125636,0.00012577,0.998932
deterministic,uniform_random,0.050,64150,0.0500609,2.000437,9.785277,11.785714,3.366943,0,0.000919719,0.000920753,0.998878
deterministic,uniform_random,0.075,95712,0.0746922,2.002019,9.834697,11.836715,3.376263,0,0.00252842,0.00253122,0.998893
