design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops
400_adaptive,adaptive,4,0,uniform_random,0.275,352384,0.274973,2.126581,11.030139,13.156720,3.688142
400_adaptive,adaptive,4,0,uniform_random,0.300,384295,0.299862,2.175195,11.301579,13.476774,3.707256
400_adaptive,adaptive,4,0,uniform_random,0.325,415911,0.324539,2.241029,12.008108,14.249137,3.715471
400_adaptive,adaptive,4,0,uniform_random,0.350,447831,0.349402,2.352185,12.608060,14.960245,3.712140
400_adaptive,adaptive,4,0,uniform_random,0.375,479775,0.374306,2.534535,13.082261,15.616795,3.700822
400_adaptive,adaptive,4,0,uniform_random,0.400,511512,0.399038,2.780227,13.414269,16.194497,3.694606
400_adaptive,adaptive,4,0,uniform_random,0.425,543556,0.424029,3.932321,13.662497,17.594819,3.689907
400_adaptive,adaptive,4,0,uniform_random,0.450,575416,0.448873,4.448037,13.934435,18.382471,3.681896
400_adaptive,adaptive,4,0,uniform_random,0.475,606982,0.473516,12.537784,14.117482,26.655266,3.675336
400_adaptive,adaptive,4,0,uniform_random,0.500,639111,0.49853,17.647561,14.391118,32.038679,3.666623
400_adaptive,adaptive,4,0,uniform_random,0.525,668329,0.52129,43.425856,14.664039,58.089896,3.660693
400_adaptive,adaptive,4,0,uniform_random,0.550,691278,0.539195,102.096878,14.939625,117.036503,3.656280
400_adaptive,adaptive,4,0,uniform_random,0.575,691718,0.53953,300.432693,15.056190,315.488884,3.656301
400_adaptive,adaptive,4,0,uniform_random,0.600,693454,0.540906,479.955179,15.035118,494.990297,3.655984
400_adaptive,adaptive,4,0,uniform_random,0.625,691491,0.539359,673.844655,14.955078,688.799733,3.657071
400_adaptive,adaptive,4,0,uniform_random,0.650,692564,0.540175,819.248925,15.046435,834.295360,3.655408
400_adaptive,adaptive,4,0,uniform_random,0.675,691208,0.539148,991.394592,15.040420,1006.435012,3.656597
400_adaptive,adaptive,4,0,uniform_random,0.700,696257,0.543083,1110.625539,15.013167,1125.638706,3.656107
400_adaptive,adaptive,4,0,uniform_random,0.725,692422,0.540078,1255.989826,15.039782,1271.029608,3.655125
400_adaptive,adaptive,4,0,uniform_random,0.750,694555,0.541747,1375.012357,15.006296,1390.018653,3.657498
400_adaptive,adaptive,4,0,uniform_random,0.775,694044,0.541361,1493.409070,14.990894,1508.399964,3.655287
400_adaptive,adaptive,4,0,uniform_random,0.800,693694,0.541104,1599.561690,15.034204,1614.595894,3.654646
400_adaptive,adaptive,4,0,uniform_random,0.825,694523,0.541695,1705.047004,15.046249,1720.093253,3.655686
400_adaptive,adaptive,4,0,uniform_random,0.850,692966,0.540486,1799.476896,15.009914,1814.486810,3.652585
400_adaptive,adaptive,4,0,uniform_random,0.875,691479,0.539347,1911.537034,15.011303,1926.548337,3.655498
400_adaptive,adaptive,4,0,uniform_random,0.900,692558,0.540193,1989.517651,15.024521,2004.542172,3.653425
