design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
000_adaptive,adaptive,0,0,tornado_y,0.200,256078,0.199956,2.037090,5,7.037090,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.225,288187,0.225018,2.053617,5,7.053617,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.250,320345,0.250123,2.075300,5,7.075300,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.275,352107,0.274923,2.101699,5,7.101699,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.300,384248,0.300018,2.136375,5,7.136375,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.325,416256,0.325008,2.179835,5,7.179835,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.350,448322,0.350045,2.238427,5,7.238427,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.375,480036,0.374812,2.313270,5,7.313270,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.400,511878,0.399673,2.405640,5,7.405640,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.425,544103,0.424837,2.532510,5,7.532510,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.450,576091,0.449813,2.704775,5,7.704775,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.475,608139,0.47483,2.954558,5,7.954558,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.500,640164,0.49983,3.350928,5,8.350928,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.525,672348,0.524962,4.036193,5,9.036193,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.550,704079,0.54973,5.408537,5,10.408537,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.575,735754,0.574462,9.333743,5,14.333743,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.600,762866,0.59562,47.135726,5,52.135726,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.625,767326,0.599105,207.531933,5,212.531933,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.650,767636,0.599348,388.891948,5,393.891948,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.675,767757,0.599437,558.849617,5,563.849617,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.700,767817,0.599482,718.036790,5,723.036790,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.725,767844,0.599501,864.641372,5,869.641372,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.750,767869,0.599516,1002.615174,5,1007.615174,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.775,767887,0.599528,1132.034755,5,1137.034755,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.800,767908,0.599541,1252.755181,5,1257.755181,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.825,767923,0.599549,1365.672822,5,1370.672822,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.850,767936,0.599559,1472.059256,5,1477.059256,1,0,0,0
