design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
440_flex,flex,4,4,tornado_x_3d,0.700,8935,0.00627891,3922.781013,738.333209,4661.114222,4.437850,0,0,0.763096
440_flex,flex,4,4,tornado_x_3d,0.725,8863,0.006225,3929.044051,731.418926,4660.462977,4.436747,0,0,0.769704
440_flex,flex,4,4,tornado_x_3d,0.750,8920,0.00627031,3911.917643,740.241341,4652.158983,4.393720,0,0,0.761151
440_flex,flex,4,4,tornado_x_3d,0.775,8907,0.00626094,3905.534440,723.329673,4628.864113,4.390317,0,0,0.756052
440_flex,flex,4,4,tornado_x_3d,0.800,8886,0.00624375,3888.583959,731.920921,4620.504880,4.421171,0,0,0.76539
440_flex,flex,4,4,tornado_x_3d,0.825,8883,0.00624141,3924.797221,727.677807,4652.475028,4.406935,0,0,0.762549
440_flex,flex,4,4,tornado_x_3d,0.850,8883,0.00623984,3949.794917,723.517215,4673.312132,4.402780,0,0,0.764993
440_flex,flex,4,4,tornado_x_3d,0.875,8922,0.00627109,3953.949670,734.324405,4688.274075,4.390308,0,0,0.758565
440_flex,flex,4,4,tornado_x_3d,0.900,8898,0.00625391,3951.993879,717.186758,4669.180637,4.412117,0,0,0.761399
440_flex,flex,4,4,tornado_x_3d,0.925,8904,0.00625781,3965.493633,728.866792,4694.360424,4.395755,0,0,0.756679
440_flex,flex,4,4,tornado_x_3d,0.950,8957,0.00629922,3974.935384,714.765472,4689.700856,4.407665,0,0,0.758651
440_flex,flex,4,4,tornado_x_3d,0.975,8944,0.00629063,3974.766269,718.497392,4693.263661,4.392946,0,0,0.756582
440_flex,flex,4,4,tornado_x_3d,1.000,8986,0.00631953,3969.339226,720.039065,4689.378292,4.405365,0,0,0.763135
440_flex,flex,4,4,tornado_y,0.025,31877,0.0248867,2.000031,5.976173,7.976205,1.488087,0,0,0
