design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
000_adaptive,adaptive,0,0,bit_reverse,0.250,320344,0.249891,2.091965,13.883215,15.975180,4.095710,0,0.0245268,0.0245638,0.998492
000_adaptive,adaptive,0,0,bit_reverse,0.275,352105,0.274673,2.133994,14.413457,16.547451,4.077948,0,0.023564,0.023599,0.998515
000_adaptive,adaptive,0,0,bit_reverse,0.300,384247,0.29973,2.221437,14.954634,17.176070,4.058235,0,0.0233782,0.0234143,0.998457
000_adaptive,adaptive,0,0,bit_reverse,0.325,415927,0.324426,8.372408,15.669755,24.042163,4.044001,0,0.0247327,0.0247721,0.998408
000_adaptive,adaptive,0,0,bit_reverse,0.350,447609,0.34909,10.725492,16.000624,26.726116,4.028107,0,0.0277586,0.0278067,0.998271
000_adaptive,adaptive,0,0,bit_reverse,0.375,473239,0.369017,46.799681,16.403955,63.203636,4.030245,0,0.0319014,0.031962,0.998105
000_adaptive,adaptive,0,0,bit_reverse,0.400,498175,0.388434,89.740808,17.935351,107.676160,4.030374,0,0.0369087,0.0369814,0.998035
000_adaptive,adaptive,0,0,bit_reverse,0.425,520975,0.406132,135.747028,18.202513,153.949541,4.031996,0,0.0430443,0.0431375,0.997839
000_adaptive,adaptive,0,0,bit_reverse,0.450,542099,0.422577,206.102862,18.304399,224.407261,4.046913,0,0.0470818,0.0471863,0.997786
000_adaptive,adaptive,0,0,bit_reverse,0.475,556615,0.433829,282.092597,19.059813,301.152409,4.058120,0,0.0531265,0.0532522,0.997639
000_adaptive,adaptive,0,0,bit_reverse,0.500,567057,0.441931,376.108987,20.245941,396.354928,4.063141,0,0.0578266,0.0579682,0.997558
000_adaptive,adaptive,0,0,bit_reverse,0.525,572917,0.446476,493.720425,20.784890,514.505315,4.050022,0,0.0622272,0.0623827,0.997507
000_adaptive,adaptive,0,0,bit_reverse,0.550,586918,0.457367,589.266527,21.026212,610.292739,4.037309,0,0.0646956,0.06486,0.997465
000_adaptive,adaptive,0,0,bit_reverse,0.575,582191,0.453654,738.634907,20.912456,759.547363,4.016336,0,0.0646231,0.0647916,0.997399
000_adaptive,adaptive,0,0,bit_reverse,0.600,588098,0.458264,868.128329,20.772477,888.900806,4.000834,0,0.0658921,0.0660628,0.997415
000_adaptive,adaptive,0,0,bit_reverse,0.625,588024,0.458231,1039.592937,21.235900,1060.828837,3.986814,0,0.0639736,0.0641359,0.997469
000_adaptive,adaptive,0,0,bit_reverse,0.650,598691,0.466587,1153.157035,20.533310,1173.690344,3.981955,0,0.0667774,0.0669406,0.997561
000_adaptive,adaptive,0,0,bit_reverse,0.675,590485,0.460134,1309.180348,20.778650,1329.958998,3.991769,0,0.0651956,0.065363,0.997438
000_adaptive,adaptive,0,0,bit_reverse,0.700,591600,0.46098,1438.436261,21.355228,1459.791489,3.989369,0,0.066479,0.0666531,0.997388
000_adaptive,adaptive,0,0,bit_reverse,0.725,531465,0.413997,1467.233326,25.348644,1492.581970,3.871757,0,0.0691109,0.0693129,0.997085
000_adaptive,adaptive,0,0,bit_reverse,0.750,586449,0.456985,1679.159772,21.217200,1700.376971,3.989628,0,0.0671874,0.0673606,0.997429
